Source,Target,Type
1,1014,directed
2,1015,directed
3,1016,directed
4,1017,directed
5,1018,directed
6,1019,directed
7,1020,directed
8,1021,directed
9,1022,directed
10,1023,directed
11,1024,directed
12,1025,directed
13,1026,directed
14,1027,directed
15,1028,directed
16,1029,directed
17,1030,directed
18,1031,directed
19,1032,directed
20,1033,directed
21,1034,directed
22,1035,directed
23,1036,directed
24,1037,directed
25,1038,directed
26,1039,directed
27,1040,directed
28,1041,directed
29,1042,directed
30,1043,directed
31,1044,directed
32,1045,directed
33,1046,directed
34,1047,directed
35,1048,directed
36,1049,directed
37,1050,directed
38,1051,directed
39,1052,directed
40,1053,directed
41,1054,directed
42,1055,directed
43,1056,directed
44,1057,directed
45,1058,directed
46,1059,directed
47,1060,directed
48,1061,directed
49,1062,directed
50,1063,directed
51,1064,directed
52,1065,directed
53,1066,directed
54,1067,directed
55,1068,directed
56,1069,directed
57,1070,directed
58,1071,directed
59,1072,directed
60,1073,directed
61,1074,directed
62,1075,directed
63,1076,directed
64,1077,directed
65,1078,directed
66,1079,directed
67,1080,directed
68,1081,directed
69,1082,directed
70,1083,directed
71,1084,directed
72,1085,directed
73,1086,directed
74,1087,directed
75,1088,directed
76,1089,directed
77,1090,directed
78,1091,directed
79,1092,directed
80,1093,directed
81,1094,directed
82,1095,directed
83,1096,directed
84,1097,directed
85,1098,directed
86,1099,directed
87,1100,directed
88,1101,directed
89,1102,directed
90,1103,directed
91,1104,directed
92,1105,directed
93,1106,directed
94,1107,directed
95,1108,directed
96,1109,directed
97,1110,directed
98,1111,directed
99,1112,directed
100,1113,directed
101,1114,directed
102,1115,directed
103,1116,directed
104,1117,directed
105,1118,directed
106,1119,directed
107,1120,directed
108,1121,directed
109,1122,directed
110,1123,directed
111,1124,directed
112,1125,directed
113,1126,directed
114,1127,directed
115,1128,directed
116,1129,directed
117,1130,directed
118,1131,directed
119,1132,directed
120,1133,directed
121,1134,directed
122,1135,directed
123,1136,directed
124,1137,directed
125,1138,directed
126,1139,directed
127,1140,directed
128,1141,directed
129,1142,directed
130,1143,directed
131,1144,directed
132,1145,directed
133,1146,directed
134,1147,directed
135,1148,directed
136,1149,directed
137,1150,directed
138,1151,directed
139,1152,directed
140,1153,directed
141,1154,directed
142,1155,directed
143,1156,directed
144,1157,directed
145,1158,directed
146,1159,directed
147,1160,directed
148,1161,directed
149,1162,directed
150,1163,directed
151,1164,directed
152,1165,directed
153,1166,directed
154,1167,directed
155,1168,directed
156,1169,directed
157,1170,directed
158,1171,directed
159,1172,directed
160,1173,directed
161,1174,directed
162,1175,directed
163,1176,directed
164,1177,directed
165,1178,directed
166,1179,directed
167,1180,directed
168,1181,directed
169,1182,directed
170,1183,directed
171,1184,directed
172,1185,directed
173,1186,directed
174,1187,directed
175,1188,directed
176,1189,directed
177,1190,directed
178,1191,directed
179,1192,directed
